Asset name,ASN19578 Hov?ùs Kedjestigen,
Exported on,"12 October 2021, 09:40:51",
Timezone,UTC +2,
,,
Date/Time,"Water level, nap (cm)",Temperature (?¯C)
21-08-2021 12:00,5,21.7
21-08-2021 12:05,5,21.7
21-08-2021 12:10,5,21.8
21-08-2021 12:15,4,21.8
21-08-2021 12:20,4,21.9
21-08-2021 12:25,3,21.9
21-08-2021 12:30,3,21.9
21-08-2021 12:35,4,22
21-08-2021 12:40,4,22
21-08-2021 12:45,4,22.1
21-08-2021 12:50,4,22.2
21-08-2021 12:55,4,22.2
21-08-2021 13:00,5,22.3
21-08-2021 13:05,5,22.4
21-08-2021 13:10,5,22.6
21-08-2021 13:15,5,22.7
21-08-2021 13:20,5,22.8
21-08-2021 13:25,5,22.9
21-08-2021 13:30,5,22.9
21-08-2021 13:35,5,23
21-08-2021 13:40,5,23
21-08-2021 13:45,5,23.1
21-08-2021 13:50,5,23.1
21-08-2021 13:55,4,23.2
21-08-2021 14:00,4,23.3
21-08-2021 14:05,4,23.4
21-08-2021 14:10,4,23.4
21-08-2021 14:15,4,23.4
21-08-2021 14:20,4,23.5
21-08-2021 14:25,4,23.5
21-08-2021 14:30,4,23.6
21-08-2021 14:35,4,23.6
21-08-2021 14:40,4,23.7
21-08-2021 14:45,4,23.7
21-08-2021 14:50,4,23.8
21-08-2021 14:55,4,23.8
21-08-2021 15:00,4,23.9
21-08-2021 15:05,4,23.9
21-08-2021 15:10,4,23.9
21-08-2021 15:15,4,23.8
21-08-2021 15:20,4,23.8
21-08-2021 15:25,5,23.7
21-08-2021 15:30,5,23.6
21-08-2021 15:35,4,23.6
21-08-2021 15:40,4,23.5
21-08-2021 15:45,4,23.4
21-08-2021 15:50,4,23.3
21-08-2021 15:55,4,23.1
21-08-2021 16:00,4,23
21-08-2021 16:05,4,22.9
21-08-2021 16:10,4,22.8
21-08-2021 16:15,4,22.7
21-08-2021 16:20,4,22.6
21-08-2021 16:25,4,22.5
21-08-2021 16:30,4,22.4
21-08-2021 16:35,4,22.3
21-08-2021 16:40,4,22.2
21-08-2021 16:45,4,22.1
21-08-2021 16:50,4,22
21-08-2021 16:55,4,22
21-08-2021 17:00,4,21.9
21-08-2021 17:05,4,21.8
21-08-2021 17:10,4,21.8
21-08-2021 17:15,4,21.7
21-08-2021 17:20,4,21.6
21-08-2021 17:25,5,21.6
21-08-2021 17:30,5,21.5
21-08-2021 17:35,5,21.5
21-08-2021 17:40,5,21.4
21-08-2021 17:45,5,21.4
21-08-2021 17:50,5,21.3
21-08-2021 17:55,5,21.3
21-08-2021 18:00,5,21.2
21-08-2021 18:05,5,21.2
21-08-2021 18:10,5,21.2
21-08-2021 18:15,5,21.1
21-08-2021 18:20,5,21.1
21-08-2021 18:25,5,21.1
21-08-2021 18:30,5,21
21-08-2021 18:35,5,21
21-08-2021 18:40,4,21
21-08-2021 18:45,4,20.9
21-08-2021 18:50,4,20.9
21-08-2021 18:55,4,20.9
21-08-2021 19:00,4,20.9
21-08-2021 19:05,4,20.8
21-08-2021 19:10,4,20.8
21-08-2021 19:15,4,20.7
21-08-2021 19:20,4,20.7
21-08-2021 19:25,4,20.7
21-08-2021 19:30,4,20.6
21-08-2021 19:35,4,20.5
21-08-2021 19:40,4,20.5
21-08-2021 19:45,4,20.5
21-08-2021 19:50,3,20.4
21-08-2021 19:55,3,20.3
21-08-2021 20:00,3,20.3
21-08-2021 20:05,3,20.2
21-08-2021 20:10,4,20.2
21-08-2021 20:15,4,20.1
21-08-2021 20:20,4,20.1
21-08-2021 20:25,4,20
21-08-2021 20:30,5,20
21-08-2021 20:35,5,19.9
21-08-2021 20:40,5,19.9
21-08-2021 20:45,5,19.8
21-08-2021 20:50,5,19.8
21-08-2021 20:55,5,19.7
21-08-2021 21:00,5,19.7
21-08-2021 21:05,5,19.6
21-08-2021 21:10,4,19.6
21-08-2021 21:15,4,19.5
21-08-2021 21:20,4,19.5
21-08-2021 21:25,4,19.4
21-08-2021 21:30,4,19.3
21-08-2021 21:35,4,19.3
21-08-2021 21:40,4,19.3
21-08-2021 21:45,4,19.2
21-08-2021 21:50,4,19.2
21-08-2021 21:55,4,19.1
21-08-2021 22:00,4,19.1
21-08-2021 22:05,4,19
21-08-2021 22:10,4,19
21-08-2021 22:15,4,18.9
21-08-2021 22:20,4,18.9
21-08-2021 22:25,4,18.9
21-08-2021 22:30,4,18.8
21-08-2021 22:35,3,18.8
21-08-2021 22:40,3,18.7
21-08-2021 22:45,4,18.7
21-08-2021 22:50,4,18.7
21-08-2021 22:55,4,18.6
21-08-2021 23:00,4,18.6
21-08-2021 23:05,5,18.6
21-08-2021 23:10,5,18.5
21-08-2021 23:15,5,18.5
21-08-2021 23:20,5,18.5
21-08-2021 23:25,5,18.4
21-08-2021 23:30,5,18.4
21-08-2021 23:35,4,18.4
21-08-2021 23:40,3,18.4
21-08-2021 23:45,3,18.3
21-08-2021 23:50,3,18.3
21-08-2021 23:55,3,18.3
